word,品詞,意味,頻出度,example_en,example_ja
potential,形容詞,潜在的な,,,
financial,形容詞,財政的な,,,
enormous,形容詞,大きな,,,
rare,形容詞,珍しい,,,
artificial,形容詞,人工の,,,
tiny,形容詞,小さな,,,
considerable,形容詞,かなりの,,,
sensitive,形容詞,敏感な,,,
intellectual,形容詞,知的な,,,
thirsty,形容詞,喉が渇く,,,
polite,形容詞,礼儀正しい,,,
accurate,形容詞,正確な,,,
rude,形容詞,失礼な,,,
sufficient,形容詞,十分な,,,
urban,形容詞,都会の,,,
temporary,形容詞,一時的な,,,
primitive,形容詞,原始的な,,,
permanent,形容詞,永久の,,,
elderly,形容詞,高齢の,,,
severe,形容詞,厳しい,,,
brief,形容詞,簡潔な,,,
mobile,形容詞,流動的な,,,
latest,形容詞,最新の,,,
military,形容詞,軍事的な,,,
strict,形容詞,厳しい,,,
solid,形容詞,固体の,,,
stupid,形容詞,ばかな,,,
biological,形容詞,生物の,,,
probably,副詞,おそらく,,,
hardly,副詞,ほとんどない,,,
immediately,副詞,すぐに,,,
eventually,副詞,ついに,,,
frequently,副詞,しばしば,,,
extremely,副詞,非常に,,,
gradually,副詞,段々,,,
instantly,副詞,すぐに,,,
nevertheless,副詞,それにもかかわらず,,,
moreover,副詞,その上,,,
relatively,副詞,比較的,,,
apparently,副詞,一見,,,
definitely,副詞,絶対に,,,
largely,副詞,主に,,,
mostly,副詞,大部分は,,,
approximately,副詞,およそ,,,
overnight,副詞,一晩中,,,
accidentally,副詞,偶然に,,,
despite,副詞,にもかかわらず,,,
