word,品詞,意味,頻出度,example_en,example_ja
pain,名詞,苦痛,A,,
twin,名詞,双子の一方、双生児,A,,
occasion,名詞,場合,A,,
principle,名詞,原理、原則,A,,
department,名詞,部門、学科,A,,
duty,名詞,義務、関税,A,,
scene,名詞,場面、現場,A,,
jam,名詞,渋滞、ジャム,A,,
spirit,名詞,精神,A,,
medium,名詞,手段,A,,
mass,名詞,一般大衆,A,,
audience,名詞,聴衆、観客,A,,
element,名詞,要素,A,,
climate,名詞,気候,A,,
revolution,名詞,革命,A,,
quarter,名詞,4分の1,A,,
furniture,名詞,家具,A,,
brain,名詞,脳,A,,
atmosphere,名詞,大気,A,,
property,名詞,財産,A,,
reward,名詞,報酬,A,,
security,名詞,安全,A,,
delight,名詞,大喜び,A,,
desert,名詞,砂漠,A,,
background,名詞,背景、経歴,A,,
trend,名詞,傾向,A,,
vote,名詞,投票,A,,
impact,名詞,影響,A,,
institution,名詞,機関、制度,A,,
interaction,名詞,交流,A,,
alternative,名詞,代わりのもの,A,,
harm,名詞,害,A,,
agency,名詞,機関、代理店,A,,
capacity,名詞,能力,A,,
minister,名詞,大臣,A,,
volunteer,名詞,ボランティア,A,,
access,名詞,利用する権利,A,,
quantity,名詞,量,A,,
branch,名詞,枝、支店、部門,A,,
common,形容詞,共通の、普通の,A,,
rough,形容詞,荒い、大ざっぱな,A,,
likely,形容詞,ありそうな,A,,
serious,形容詞,深刻な,A,,
particular,形容詞,ある特定の,A,,
available,形容詞,手に入る、利用できる,A,,
bilingual,形容詞,二言語仕様の,A,,
ready,形容詞,用意ができた,A,,
correct,形容詞,正しい,A,,
familiar,形容詞,熟知している,A,,
physical,形容詞,身体の,A,,
worth,形容詞,の価値がある,A,,
involved,形容詞,に関係している、参加している,A,,
fantastic,形容詞,素晴らしい,A,,
private,形容詞,個人の,A,,
obvious,形容詞,明白な,A,,
native,形容詞,母国の,A,,
complex,形容詞,複雑な,A,,
willing,形容詞,する気がある,A,,
current,形容詞,最新の,A,,
mail,形容詞,男の,A,,
proper,形容詞,適切な,A,,
capable,形容詞,する能力がある,A,,
independent,形容詞,独立した,A,,
positive,形容詞,積極的な,A,,
pleasant,形容詞,楽しい,A,,
significant,形容詞,重要な,A,,
former,形容詞,前の,A,,
chemical,形容詞,化学的な,A,,
upset,形容詞,動揺している,A,,
previous,形容詞,前の,A,,
calm,形容詞,冷静な,A,,
specific,形容詞,特定の,A,,
conscious,形容詞,意識している,A,,
superior,形容詞,よりすぐれている,A,,
efficient,形容詞,効率が良い,A,,
fundamental,形容詞,基本的な,A,,
narrow,形容詞,狭い,A,,
reasonable,形容詞,理にかなった,A,,
nervous,形容詞,神経質な,A,,
alike,形容詞,似ている,A,,
domestic,形容詞,家庭の、国内の,A,,
negative,形容詞,否定の,A,,
moral,形容詞,道徳的な,A,,
eager,形容詞,熱心な,A,,
remarkable,形容詞,素晴らしい,A,,
evil,形容詞,悪い,A,,
awake,形容詞,目を覚まして,A,,
aged,形容詞,年老いた,A,,
anxious,形容詞,心配して,A,,
tough,形容詞,たくましい,A,,
nuclear,形容詞,核の,A,,
legal,形容詞,合法の,A,,
curious,形容詞,好奇心が強い,A,,
civil,形容詞,一般市民の,A,,
recent,形容詞,最近の,A,,
senior,形容詞,上級の,A,,
afterward,副詞,その後,A,,
nearly,副詞,ほとんど,A,,
therefore,副詞,それゆえに,A,,
exactly,副詞,正確に,A,,
possibly,副詞,ひょっとすると,A,,
contrary,副詞,反対に,A,,
occasionally,副詞,時々,A,,
somehow,副詞,どういうわけか,A,,
seldom,副詞,めったにない,A,,
thus,副詞,それゆえ,A,,
throughout,副詞,のいたる所に,A,,
unlike,副詞,と違って,A,,
besides,副詞,に加えて,A,,
beyond,副詞,の向こうに,A,,
within,副詞,以内で,A,,
nor,副詞,もない、もまた（～し）ない,A,,
unless,副詞,しない限り,A,,
except,副詞,をのぞいて,A,,
ought,副詞,すべきである,A,,
in spite of,副詞,にもかかわらず,A,,
weather,副詞,かどうか,A,,
explain,動詞,を説明する,A,,
accept,動詞,を受け入れる,A,,
produce,動詞,を生産する,A,,
exist,動詞,存在する,A,,
express,動詞,を表現する,A,,
add,動詞,を加える,A,,
avoid,動詞,を避ける,A,,
marry,動詞,結婚する,A,,
protect,動詞,を守る,A,,
affect,動詞,影響する,,,
determine,動詞,を決定する,A,,
solve,動詞,を解決する,A,,
contain,動詞,を含んでいる,A,,
discuss,動詞,を議論する,A,,
ignore,動詞,を無視する,A,,
guess,動詞,を推測する,A,,
exchange,動詞,交換する,A,,
satisfy,動詞,を満たす,A,,
complain,動詞,苦情を言う,A,,
achieve,動詞,を達成する,A,,
enable,動詞,を可能にする,A,,
intend,動詞,するつもりだ,A,,
obtain,動詞,を得る,A,,
divide,動詞,分割する,A,,
annoy,動詞,を苛立たせる,A,,
differ,動詞,異なる,A,,
educate,動詞,を教育する,A,,
borrow,動詞,を借りる,A,,
invent,動詞,を発明する,A,,
promote,動詞,を促進する,A,,
advise,動詞,に忠告する,A,,
retire,動詞,辞める,A,,
permit,動詞,を許す,A,,
recommend,動詞,を勧める,A,,
apologize,動詞,謝る,A,,
inform,動詞,に知らせる,A,,
oppose,動詞,に反対する,A,,
trust,動詞,を信用する,A,,
select,動詞,お選ぶ,A,,
praise,動詞,お褒める,A,,
handle,動詞,に対処する,A,,
propose,動詞,お提案する,A,,
breathe,動詞,を呼吸する,A,,
criticize,動詞,を非難する,A,,
overcome,動詞,に打ち勝つ,A,,
possess,動詞,を持っている,A,,
predict,動詞,を予言する,A,,
publish,動詞,を出版する,A,,
float,動詞,浮かぶ,A,,
recall,動詞,を思い出す,A,,
explore,動詞,を探検する,A,,
pretend,動詞,振りをする,A,,
absorb,動詞,を吸収する,A,,
resemble,動詞,に似ている,A,,
tear,動詞,を引き裂く,A,,
consume,動詞,を消費する,A,,
compete,動詞,競争する,A,,
quit,動詞,をやめる,A,,
announce,動詞,を発表する,A,,
react,動詞,反応する,A,,
wander,動詞,歩き回る,A,,
text,動詞,メールを送る,A,,
generate,動詞,を生み出す,A,,
score,動詞,踊る,A,,
government,名詞,政府,A,,
knowledge,名詞,知識,A,,
nation,名詞,国,A,,
effort,名詞,努力,A,,
period,名詞,時代,A,,
population,名詞,人口,,,
purpose,名詞,目的,,,
behavior,名詞,行動,,,
lack,名詞,不足,,,
skill,名詞,技術,,,
quality,名詞,質,,,
environment,名詞,環境,,,
role,名詞,役割,,,
attitude,名詞,態度,,,
author,名詞,筆写,,,
research,名詞,研究,,,
opportunity,名詞,機械,,,
source,名詞,源,,,
carbon,名詞,炭素,,,
shape,名詞,形,,,
advantage,名詞,利点,,,
method,名詞,方法,,,
habit,名詞,習慣,,,
detail,名詞,細部,,,
distance,名詞,距離,,,
crowd,名詞,群衆,,,
instance,名詞,例,,,
desire,名詞,願望,,,
standard,名詞,水準,,,
task,名詞,仕事,,,
generation,名詞,世代,,,
responsibility,名詞,責任,,,
experiment,名詞,実験,,,
athlete,名詞,運動選手,,,
decade,名詞,10年,,,
loss,名詞,損失,,,
fever,名詞,熱,,,
theory,名詞,理論,,,
statement,名詞,記述,,,
professor,名詞,教授,,,
function,名詞,機能,,,
surface,名詞,表面,,,
envelope,名詞,封筒,,,
organization,名詞,組織,,,
policy,名詞,政策,,,
resource,名詞,資源,,,
contrast,名詞,対比,,,
flood,名詞,香水,,,
mate,名詞,連れ合い,,,
goods,名詞,商品,,,
creature,名詞,動物,,,
structure,名詞,構造,,,
tradition,名詞,伝統,,,
weight,名詞,体重,,,
charity,名詞,慈善,,,
citizen,名詞,市民,,,
impression,名詞,印象,,,
cartoon,名詞,漫画,,,
career,名詞,経歴,,,
site,名詞,用地,,,
passenger,名詞,乗客,,,
violence,名詞,暴力,,,
income,名詞,所得,,,
temperature,名詞,気温,,,
majority,名詞,大多数,,,
origin,名詞,起源,,,
literature,名詞,文学,,,
equipment,名詞,設備,,,
stranger,名詞,見知らぬ人,,,
strength,名詞,強さ,,,
planet,名詞,惑星,,,
fiction,名詞,小説,,,
religion,名詞,宗教,,,
pollution,名詞,汚染,,,
wealth,名詞,富,,,
document,名詞,文章,,,
profit,名詞,儲け,,,
technique,名詞,技術,,,
emotion,名詞,感情,,,
phenomenon,名詞,現象,,,
horror,名詞,恐怖,,,
ladder,名詞,はしご,,,
billion,名詞,10億,,,
status,名詞,地位,,,
youth,名詞,若者,,,
confidence,名詞,地震,,,
edge,名詞,周辺,,,
household,名詞,家庭,,,
scholar,名詞,学者,,,
survey,名詞,調査,,,
vocabulary,名詞,語彙,,,
enemy,名詞,敵,,,
construction,名詞,建設,,,
lecture,名詞,講義,,,
instruction,名詞,指示,,,
crisis,名詞,危機,,,
instrument,名詞,道具,,,
crop,名詞,作物,,,
weapon,名詞,兵器,,,
device,名詞,装置,,,
path,名詞,道,,,
earthquake,名詞,地震,,,
stream,名詞,小川,,,
notion,名詞,概念,,,
yard,名詞,庭,,,
victim,名詞,犠牲者,,,
fuel,名詞,燃料,,,
ancestor,名詞,祖先,,,
soil,名詞,土壌,,,
debate,名詞,討論,,,
crime,名詞,犯罪,,,
colleague,名詞,同僚,,,
shelf,名詞,棚,,,
analysis,名詞,分析,,,
universe,名詞,宇宙,,,
electricity,名詞,電気,,,
insect,名詞,昆虫,,,
web,名詞,巣,,,
storm,名詞,嵐,,,
plenty,名詞,十分,,,
agriculture,名詞,農業,,,
gene,名詞,遺伝子,,,
evidence,名詞,証拠,,,
consequence,名詞,結果,,,
infant,名詞,幼児,,,
leisure,名詞,暇,,,
cell,名詞,細胞,,,
talent,名詞,才能,,,
advertising,名詞,広告,,,
extend,名詞,程度,,,
garbage,名詞,ゴミ,,,
general,形容詞,一般の,,,
various,形容詞,様々な,,,
similar,形容詞,似ている,,,
complete,形容詞,完全な,,,
sharp,形容詞,急激な,,,
expensive,形容詞,高価な,,,
political,形容詞,政治的な,,,
aware,形容詞,気づいている,,,
ancient,形容詞,古代の,,,
medical,形容詞,医学の,,,
essential,形容詞,不可欠な,,,
huge,形容詞,巨大な,,,
terrible,形容詞,ひどい,,,
practical,形容詞,実用的な,,,
entire,形容詞,全体の,,,
favorite,形容詞,一番好きな,,,
comfortable,形容詞,快適な,,,
minor,形容詞,小さい,,,
typical,形容詞,典型的な,,,
ideal,形容詞,理想的な,,,
principal,形容詞,主要な,,,
appropriate,形容詞,適切な,,,
empty,形容詞,からの,,,
rapid,形容詞,急速な,,,
mental,形容詞,精神の,,,
excellent,形容詞,素晴らしい,,,
convenient,形容詞,都合がいい,,,
potential,形容詞,潜在的な,,,
financial,形容詞,財政的な,,,
enormous,形容詞,大きな,,,
rare,形容詞,珍しい,,,
artificial,形容詞,人工の,,,
tiny,形容詞,小さな,,,
considerable,形容詞,かなりの,,,
sensitive,形容詞,敏感な,,,
intellectual,形容詞,知的な,,,
thirsty,形容詞,喉が渇く,,,
polite,形容詞,礼儀正しい,,,
accurate,形容詞,正確な,,,
rude,形容詞,失礼な,,,
sufficient,形容詞,十分な,,,
urban,形容詞,都会の,,,
temporary,形容詞,一時的な,,,
primitive,形容詞,原始的な,,,
permanent,形容詞,永久の,,,
elderly,形容詞,高齢の,,,
severe,形容詞,厳しい,,,
brief,形容詞,簡潔な,,,
mobile,形容詞,流動的な,,,
latest,形容詞,最新の,,,
military,形容詞,軍事的な,,,
strict,形容詞,厳しい,,,
solid,形容詞,固体の,,,
stupid,形容詞,ばかな,,,
biological,形容詞,生物の,,,
probably,副詞,おそらく,,,
hardly,副詞,ほとんどない,,,
immediately,副詞,すぐに,,,
eventually,副詞,ついに,,,
frequently,副詞,しばしば,,,
extremely,副詞,非常に,,,
gradually,副詞,段々,,,
instantly,副詞,すぐに,,,
nevertheless,副詞,それにもかかわらず,,,
moreover,副詞,その上,,,
relatively,副詞,比較的,,,
apparently,副詞,一見,,,
definitely,副詞,絶対に,,,
largely,副詞,主に,,,
mostly,副詞,大部分は,,,
approximately,副詞,およそ,,,
overnight,副詞,一晩中,,,
accidentally,副詞,偶然に,,,
despite,副詞,にもかかわらず,,,
