word,品詞,意味,頻出度,example_en,example_ja
pain,名詞,苦痛,A,,
twin,名詞,双子の一方、双生児,A,,
occasion,名詞,場合,A,,
principle,名詞,原理、原則,A,,
department,名詞,部門、学科,A,,
duty,名詞,義務、関税,A,,
scene,名詞,場面、現場,A,,
jam,名詞,渋滞、ジャム,A,,
spirit,名詞,精神,A,,
medium,名詞,手段,A,,
mass,名詞,一般大衆,A,,
audience,名詞,調習,A,,
element,名詞,要素,A,,
climate,名詞,気候,A,,
revolution,名詞,革命,A,,
quarter,名詞,四分の一,A,,
furniture,名詞,家具,A,,
brain,名詞,脳,A,,
atmosphere,名詞,待機,A,,
property,名詞,財産,A,,
reward,名詞,報酬,A,,
security,名詞,安全,A,,
delight,名詞,大喜び,A,,
desert,名詞,砂漠,A,,
desert,名詞,背景,A,,
background,名詞,背景,A,,
trend,名詞,傾向,A,,
vote,名詞,投票,A,,
impact,名詞,影響,A,,
institution,名詞,機関,A,,
interaction,名詞,交流 interaction,A,,
alternative,名詞,代わりのもの alternative,A,,
harm,名詞,害 harm,A,,
agency,名詞,機関 agency,A,,
capacity,名詞,能力 capacity,A,,
minister,名詞,大臣 minister,A,,
volunteer,名詞,ボランティア volunteer,A,,
access,名詞,利用する権利 access,A,,
quantity,名詞,量 quantity,A,,
branch,名詞,枝 branch,A,,
physical,形容詞,身体の physical,A,,
worth,形容詞,の価値がある worth,A,,
involved,形容詞,関係している involved,A,,
fantastic,形容詞,素晴らしい fantastic,A,,
private,形容詞,個人の private,A,,
obvious,形容詞,明白な obvious,A,,
native,形容詞,母国の native,A,,
complex,形容詞,複雑な complex,A,,
willing,形容詞,する気がある willing,A,,
current,形容詞,最新の current,A,,
former,形容詞,前の former,A,,
chemical,形容詞,科学的な chemical,A,,
upset,形容詞,動揺しているupset,A,,
previous,形容詞,前の previous,A,,
calm,形容詞,冷静な calm,A,,
specific,形容詞,特定の specific,A,,
conscious,形容詞,意識している conscious,A,,
superior,形容詞,寄り優れている superior,A,,
like,形容詞,見ている アライク,A,,
domestic,形容詞,家庭の domestic,A,,
negative,形容詞,否定の negative,A,,
moral,形容詞,道徳的な moral,A,,
eager,形容詞,熱心な eager,A,,
remarkable,形容詞,素晴らしい,A,,
evil,形容詞,悪い Evil,A,,
awake,形容詞,目を覚まして Awake,A,,
aged,形容詞,年老いた Aged,A,,
anxious,形容詞,心配して Anxious,A,,
possibly,副詞,ひょっとすると possibly,A,,
contrary,副詞,反対に contrary,A,,
occasionally,副詞,時々 occasionally,A,,
somehow,副詞,どういうわけか somehow,A,,
seldom,副詞,めったにない seldom,A,,
within,副詞,以内で within,A,,
nor,副詞,もうないの unless しない限り unless,A,,
except,副詞,を除いて accept,A,,
art,副詞,すべきである オート,A,,
in spite of,副詞,にもかかわらず in spite of,A,,
weather,副詞,かどうか weather,A,,
affect,動詞,に影響する。,A,,
determine,動詞,を決定する。,A,,
solve,動詞,を解決する。,A,,
contain,動詞,を含んでいる。,A,,
discuss,動詞,を議論する。,A,,
ignore,動詞,を無視する。,A,,
guess,動詞,を推測する。,A,,
exchange,動詞,交換する Exchange,A,,
satisfy,動詞,を満たす Satisfy,A,,
complain,動詞,苦情を言う Complain,A,,
achieve,動詞,を達成する Achieve,A,,
enable,動詞,を可能にする Enable,A,,
intend,動詞,するつもりだ Intend,A,,
borrow,動詞,掛りる,A,,
invent,動詞,発明する,A,,
promote,動詞,促進する,A,,
advise,動詞,未忠告する,A,,
retire,動詞,辞める,A,,
permit,動詞,許す,A,,
recommend,動詞,オススメル,A,,
apologize,動詞,アポロジイズ,A,,
aiyamaru,動詞,アヤマル,A,,
apologize,動詞,アポロジイズ,A,,
inform,動詞,インフォーム,A,,
appose,動詞,アポロジイズ,A,,
trust,動詞,トラスト,A,,
select,動詞,セレクト セレクト,A,,
tear,動詞,おひきさく,A,,
consume,動詞,おしょうひする,A,,
compete,動詞,競争する,A,,
quit,動詞,おやめる,A,,
announce,動詞,お発表する,A,,
react,動詞,反応する,A,,
wander,動詞,あるきまわる,A,,
